model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,lambda_f,lambda_ic,lambda_bc,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version,l2_100t,l2_100t_std,l2_norm,l2_mean,l_inf,mass_balance_rel_mean,mass_balance_rel_final,mass_balance_mean,mass_balance_max,mass_t0
baseline_lr1.000e-03_bs32_gpu2,baseline,32,64,10000,2,0.001,5000,20.750720491050743,0.2937377253983141,0.4534401016352699,0.4234020121327768,0.2681176303507837,0.029991157474425986,0.13800740242004395,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.639868e-01,2.053656e-01,3.236810e-01,3.639868e-01,6.966274e-01,1.017960e-01,6.025479e-02,4.527204e-02,6.025479e-02,1.082849e-01
baseline_lr1.000e-03_bs64_gpu2,baseline,64,128,10000,2,0.001,5000,20.12724653200712,0.22615718432211354,0.2945737376828439,0.32486200067720233,0.26215154790170936,0.02304145102669863,0.17155569791793823,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.326998e-01,2.470574e-01,2.734612e-01,3.326998e-01,8.026637e-01,1.246733e-01,7.929012e-02,5.666781e-02,7.929012e-02,1.082424e-01
baseline_lr1.000e-03_bs128_gpu2,baseline,128,256,10000,2,0.001,5000,20.14460370503366,0.18926227526421893,0.2801735173419026,0.2400502405867719,0.22111892726095636,0.01570641586724488,0.04223596677184105,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.291717e-01,1.258919e-01,2.013521e-01,2.291717e-01,6.932821e-01,3.123670e-02,1.981745e-02,1.376729e-02,1.981745e-02,3.361298e-02
baseline_lr1.000e-03_bs256_gpu2,baseline,256,512,10000,2,0.001,5000,20.55073199805338,0.8265805144856112,0.9848178766586126,0.8493834440941582,0.7780528628270714,0.6940678743626028,0.5083202719688416,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,8.621673e-01,9.817921e-02,8.138719e-01,8.621673e-01,9.971624e-01,2.004638e-02,3.856130e-02,1.304959e-02,3.856130e-02,1.273963e-02
baseline_lr1.000e-03_bs512_gpu2,baseline,512,1024,10000,2,0.001,5000,21.261099184979685,0.042503068345312096,0.06580989525619758,0.04240433549509136,0.05110287444604392,0.01069516818391553,0.033380091190338135,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,6.361046e-02,5.581355e-02,4.810688e-02,6.361045e-02,6.300197e-01,9.021156e-03,5.260876e-03,4.205171e-03,6.448130e-03,-2.176563e-03
baseline_lr1.000e-03_bs1024_gpu2,baseline,1024,2048,10000,2,0.001,5000,20.296754878014326,0.15598391822374233,0.252989853619043,0.19986846044254913,0.16331012705393624,0.0077672317794409695,0.03443833440542221,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.922968e-01,1.065007e-01,1.679897e-01,1.922967e-01,6.887758e-01,2.513038e-02,1.761210e-02,1.116795e-02,1.761210e-02,1.592064e-02
baseline_lr1.000e-03_bs2048_gpu2,baseline,2048,4096,10000,2,0.001,5000,21.495851035928354,0.564790361660437,0.7890748290625368,0.6990616306829706,0.5070770870738036,0.26394789982243677,0.3293027877807617,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,6.487582e-01,1.767770e-01,5.804899e-01,6.487582e-01,8.105806e-01,4.757109e-02,4.091354e-02,2.308060e-02,4.091354e-02,6.796469e-02
baseline_lr1.000e-03_bs4096_gpu2,baseline,4096,8192,10000,2,0.001,5000,21.28380153805483,0.23173803101941434,0.33157519291323617,0.3204453310291621,0.2669907732055461,0.007940826929713006,0.04281122237443924,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.699090e-01,1.377080e-01,2.535421e-01,2.699090e-01,6.966171e-01,6.118055e-02,3.625908e-02,2.687094e-02,3.625908e-02,6.052062e-02
baseline_lr1.000e-03_bs8192_gpu2,baseline,8192,16384,10000,2,0.001,5000,21.436054521007463,0.17289864787512937,0.22694370689035362,0.22935151140400642,0.2295515411809798,0.005747832025177646,0.020501501858234406,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,True,5000,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.931373e-01,9.487239e-02,1.867914e-01,1.931373e-01,6.971940e-01,3.447207e-02,2.251355e-02,1.538945e-02,2.251355e-02,3.510657e-02
linearK_lr2.000e-03_bs32_gpu2,linearK,32,64,10000,2,0.002,5000,20.29098911001347,0.27353866837549773,0.5256147808551521,0.2629270760095152,0.24383779206721137,0.061775024570111976,0.2424750030040741,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.716023e-01,2.702679e-01,2.866135e-01,3.716023e-01,7.330362e-01,1.150055e-01,6.864006e-02,5.179826e-02,7.246424e-02,1.204587e-01
